po_id,sku_code,item_name,quantity,unit_price,gross_amount,input_gst_rate,igst_amount,total_payable,po_date,department,approval_status
PO-2026-8042,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-17,IT Infra,APPROVED
PO-2026-8043,SKU-EL-442,Cisco IP Phone 8851,8,18000.0,144000.0,0.18,25920.0,169920.0,2026-03-18,IT Infra,APPROVED
PO-2026-8044,SKU-EL-443,Logitech MX Keys Keyboard,8,8500.0,68000.0,0.18,12240.0,80240.0,2026-03-19,IT Infra,APPROVED
PO-2026-8045,SKU-FN-221,Ergonomic Office Chair (Herman Miller),3,35000.0,105000.0,0.18,18900.0,123900.0,2026-03-20,Facilities,APPROVED
PO-2026-8046,SKU-FN-222,Electric Standing Desk,1,25000.0,25000.0,0.18,4500.0,29500.0,2026-03-21,Facilities,APPROVED
PO-2026-8047,SKU-FN-223,4-Drawer Filing Cabinet,5,12000.0,60000.0,0.18,10800.0,70800.0,2026-03-22,Admin,APPROVED
PO-2026-8048,SKU-ST-101,A4 Copy Paper (10 Reams),37,450.0,16650.0,0.12,1998.0,18648.0,2026-03-23,Admin,APPROVED
PO-2026-8049,SKU-ST-102,Whiteboard Markers Set (10 Pack),23,350.0,8050.0,0.12,966.0,9016.0,2026-03-24,Admin,APPROVED
PO-2026-8050,SKU-AC-301,Daikin 1.5T 5-Star Split AC,2,42000.0,84000.0,0.28,23520.0,107520.0,2026-03-25,Facilities,APPROVED
PO-2026-8051,SKU-EL-440,Dell U2723QE 4K Monitor,1,45000.0,45000.0,0.18,8100.0,53100.0,2026-03-01,IT Infra,APPROVED
PO-2026-8052,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-02,IT Infra,APPROVED
PO-2026-8053,SKU-EL-442,Cisco IP Phone 8851,8,18000.0,144000.0,0.18,25920.0,169920.0,2026-03-03,IT Infra,APPROVED
PO-2026-8054,SKU-EL-443,Logitech MX Keys Keyboard,8,8500.0,68000.0,0.18,12240.0,80240.0,2026-03-04,IT Infra,APPROVED
PO-2026-8055,SKU-FN-221,Ergonomic Office Chair (Herman Miller),2,35000.0,70000.0,0.18,12600.0,82600.0,2026-03-05,Facilities,APPROVED
PO-2026-8056,SKU-FN-222,Electric Standing Desk,1,25000.0,25000.0,0.18,4500.0,29500.0,2026-03-06,Facilities,APPROVED
PO-2026-8057,SKU-FN-223,4-Drawer Filing Cabinet,2,12000.0,24000.0,0.18,4320.0,28320.0,2026-03-07,Admin,APPROVED
PO-2026-8058,SKU-ST-101,A4 Copy Paper (10 Reams),41,450.0,18450.0,0.12,2214.0,20664.0,2026-03-08,Admin,APPROVED
PO-2026-8059,SKU-ST-102,Whiteboard Markers Set (10 Pack),27,350.0,9450.0,0.12,1134.0,10584.0,2026-03-09,Admin,APPROVED
PO-2026-8060,SKU-AC-301,Daikin 1.5T 5-Star Split AC,2,42000.0,84000.0,0.28,23520.0,107520.0,2026-03-10,Facilities,APPROVED
PO-2026-8061,SKU-EL-440,Dell U2723QE 4K Monitor,1,45000.0,45000.0,0.18,8100.0,53100.0,2026-03-11,IT Infra,APPROVED
PO-2026-8062,SKU-EL-441,HP EliteBook 840 G9 Laptop,1,85000.0,85000.0,0.18,15300.0,100300.0,2026-03-12,IT Infra,APPROVED
PO-2026-8063,SKU-EL-442,Cisco IP Phone 8851,8,18000.0,144000.0,0.18,25920.0,169920.0,2026-03-13,IT Infra,APPROVED
PO-2026-8064,SKU-EL-443,Logitech MX Keys Keyboard,4,8500.0,34000.0,0.18,6120.0,40120.0,2026-03-14,IT Infra,APPROVED
PO-2026-8065,SKU-FN-221,Ergonomic Office Chair (Herman Miller),4,35000.0,140000.0,0.18,25200.0,165200.0,2026-03-15,Facilities,APPROVED
PO-2026-8066,SKU-FN-222,Electric Standing Desk,3,25000.0,75000.0,0.18,13500.0,88500.0,2026-03-16,Facilities,APPROVED
PO-2026-8067,SKU-FN-223,4-Drawer Filing Cabinet,5,12000.0,60000.0,0.18,10800.0,70800.0,2026-03-17,Admin,APPROVED
PO-2026-8068,SKU-ST-101,A4 Copy Paper (10 Reams),40,450.0,18000.0,0.12,2160.0,20160.0,2026-03-18,Admin,APPROVED
PO-2026-8069,SKU-ST-102,Whiteboard Markers Set (10 Pack),46,350.0,16100.0,0.12,1932.0,18032.0,2026-03-19,Admin,APPROVED
PO-2026-8070,SKU-AC-301,Daikin 1.5T 5-Star Split AC,2,42000.0,84000.0,0.28,23520.0,107520.0,2026-03-20,Facilities,APPROVED
PO-2026-8071,SKU-EL-440,Dell U2723QE 4K Monitor,1,45000.0,45000.0,0.18,8100.0,53100.0,2026-03-21,IT Infra,APPROVED
PO-2026-8072,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-22,IT Infra,APPROVED
PO-2026-8073,SKU-EL-442,Cisco IP Phone 8851,4,18000.0,72000.0,0.18,12960.0,84960.0,2026-03-23,IT Infra,APPROVED
PO-2026-8074,SKU-EL-443,Logitech MX Keys Keyboard,6,8500.0,51000.0,0.18,9180.0,60180.0,2026-03-24,IT Infra,APPROVED
PO-2026-8075,SKU-FN-221,Ergonomic Office Chair (Herman Miller),3,35000.0,105000.0,0.18,18900.0,123900.0,2026-03-25,Facilities,APPROVED
PO-2026-8076,SKU-FN-222,Electric Standing Desk,1,25000.0,25000.0,0.18,4500.0,29500.0,2026-03-01,Facilities,APPROVED
PO-2026-8077,SKU-FN-223,4-Drawer Filing Cabinet,6,12000.0,72000.0,0.18,12960.0,84960.0,2026-03-02,Admin,APPROVED
PO-2026-8078,SKU-ST-101,A4 Copy Paper (10 Reams),40,450.0,18000.0,0.12,2160.0,20160.0,2026-03-03,Admin,APPROVED
PO-2026-8079,SKU-ST-102,Whiteboard Markers Set (10 Pack),25,350.0,8750.0,0.12,1050.0,9800.0,2026-03-04,Admin,APPROVED
PO-2026-8080,SKU-AC-301,Daikin 1.5T 5-Star Split AC,1,42000.0,42000.0,0.28,11760.0,53760.0,2026-03-05,Facilities,APPROVED
PO-2026-8081,SKU-EL-440,Dell U2723QE 4K Monitor,1,45000.0,45000.0,0.18,8100.0,53100.0,2026-03-06,IT Infra,APPROVED
PO-2026-8082,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-07,IT Infra,APPROVED
PO-2026-8083,SKU-EL-442,Cisco IP Phone 8851,5,18000.0,90000.0,0.18,16200.0,106200.0,2026-03-08,IT Infra,APPROVED
PO-2026-8084,SKU-EL-443,Logitech MX Keys Keyboard,7,8500.0,59500.0,0.18,10710.0,70210.0,2026-03-09,IT Infra,APPROVED
PO-2026-8085,SKU-FN-221,Ergonomic Office Chair (Herman Miller),2,35000.0,70000.0,0.18,12600.0,82600.0,2026-03-10,Facilities,APPROVED
PO-2026-8086,SKU-FN-222,Electric Standing Desk,3,25000.0,75000.0,0.18,13500.0,88500.0,2026-03-11,Facilities,APPROVED
PO-2026-8087,SKU-FN-223,4-Drawer Filing Cabinet,2,12000.0,24000.0,0.18,4320.0,28320.0,2026-03-12,Admin,APPROVED
PO-2026-8088,SKU-ST-101,A4 Copy Paper (10 Reams),27,450.0,12150.0,0.12,1458.0,13608.0,2026-03-13,Admin,APPROVED
PO-2026-8089,SKU-ST-102,Whiteboard Markers Set (10 Pack),46,350.0,16100.0,0.12,1932.0,18032.0,2026-03-14,Admin,APPROVED
PO-2026-8090,SKU-AC-301,Daikin 1.5T 5-Star Split AC,1,42000.0,42000.0,0.28,11760.0,53760.0,2026-03-15,Facilities,APPROVED
PO-2026-8091,SKU-EL-440,Dell U2723QE 4K Monitor,2,45000.0,90000.0,0.18,16200.0,106200.0,2026-03-16,IT Infra,APPROVED
PO-2026-8092,SKU-EL-441,HP EliteBook 840 G9 Laptop,2,85000.0,170000.0,0.18,30600.0,200600.0,2026-03-17,IT Infra,APPROVED
PO-2026-8093,SKU-EL-442,Cisco IP Phone 8851,4,18000.0,72000.0,0.18,12960.0,84960.0,2026-03-18,IT Infra,APPROVED
PO-2026-8094,SKU-EL-443,Logitech MX Keys Keyboard,4,8500.0,34000.0,0.18,6120.0,40120.0,2026-03-19,IT Infra,APPROVED
PO-2026-8095,SKU-FN-221,Ergonomic Office Chair (Herman Miller),2,35000.0,70000.0,0.18,12600.0,82600.0,2026-03-20,Facilities,APPROVED
PO-2026-8096,SKU-FN-222,Electric Standing Desk,3,25000.0,75000.0,0.18,13500.0,88500.0,2026-03-21,Facilities,APPROVED
PO-2026-8007,SKU-FN-223,4-Drawer Filing Cabinet,4,12000.0,48000.0,0.18,8640.0,56640.0,2026-03-22,Admin,APPROVED
PO-2026-8008,SKU-ST-101,A4 Copy Paper (10 Reams),46,450.0,20700.0,0.12,2484.0,23184.0,2026-03-23,Admin,APPROVED
PO-2026-8009,SKU-ST-102,Whiteboard Markers Set (10 Pack),25,350.0,8750.0,0.12,1050.0,9800.0,2026-03-24,Admin,APPROVED
PO-2026-8010,SKU-AC-301,Daikin 1.5T 5-Star Split AC,3,42000.0,126000.0,0.28,35280.0,161280.0,2026-03-25,Facilities,APPROVED
